date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
2006-10-18,1787.19,Shanghai Composite,2006,10,18,200610,20064,200642,1.0132036963546687,False,0.058823529411764705,0.47058823529411764,0.0,457.5043371758244,457.97492541111853,190.0,1.4044390772047608
2006-10-19,1792.25,Shanghai Composite,2006,10,19,200610,20064,200642,1.0028312602465321,False,0.058823529411764705,0.5294117647058824,0.0,458.7996510182863,459.32906278299214,190.0,1.4108039726183597
2006-10-20,1790.36,Shanghai Composite,2006,10,20,200610,20064,200642,0.9989454596177988,False,0.058823529411764705,0.5882352941176471,0.0,458.3158282589477,458.9040635530653,190.0,1.407829963087071
2006-10-23,1759.39,Shanghai Composite,2006,10,23,200610,20064,200643,0.9827018029893431,False,0.058823529411764705,0.6470588235294118,0.0,450.38779076862204,451.03484959215143,190.0,1.3658106890054222
2006-10-24,1805.18,Shanghai Composite,2006,10,24,200610,20064,200643,1.0260260658523692,False,0.058823529411764705,0.7058823529411764,0.0,462.1096130702693,462.81549542321045,190.0,1.42685484953565
2006-10-25,1806.65,Shanghai Composite,2006,10,25,200610,20064,200643,1.0008143232253848,False,0.058823529411764705,0.7647058823529411,0.0,462.485919660866,463.2506255432189,190.0,1.428387491284219
2006-10-26,1810.65,Shanghai Composite,2006,10,26,200610,20064,200643,1.0022140425649684,False,0.058823529411764705,0.8235294117647058,0.0,463.50988317269366,464.33341258445836,190.0,1.4333131978840297
2006-10-27,1807.18,Shanghai Composite,2006,10,27,200610,20064,200643,0.9980835611520724,False,0.058823529411764705,0.8823529411764706,0.0,462.6215948261831,463.5039477673596,190.0,1.4282179081803124
2006-10-30,1809.66,Shanghai Composite,2006,10,30,200610,20064,200644,1.0013723038103566,False,0.058823529411764705,0.9411764705882353,0.0,463.2564522035163,464.1976286741045,190.0,1.4311027995871157
2006-10-31,1837.99,Shanghai Composite,2006,10,31,200610,20064,200644,1.0156548743962954,True,0.058823529411764705,1.0,1.0,471.5086737760358,471.5086737760358,191.0,1.468631799874533
2006-11-01,1855.71,Shanghai Composite,2006,11,1,200611,20064,200644,1.0096409664905686,False,0.045454545454545456,0.045454545454545456,0.0,476.0544730999229,476.0999276453775,191.0,1.4920767090645506
2006-11-02,1851.31,Shanghai Composite,2006,11,2,200611,20064,200644,0.9976289398666817,False,0.045454545454545456,0.09090909090909091,0.0,474.9257193174678,475.01662840837685,191.0,1.4858148965233804
2006-11-03,1866.36,Shanghai Composite,2006,11,3,200611,20064,200644,1.0081293786561947,False,0.045454545454545456,0.13636363636363635,0.0,478.78657032336514,478.92293395972877,191.0,1.5056610100152281
2006-11-06,1886.31,Shanghai Composite,2006,11,6,200611,20064,200645,1.0106892560920724,False,0.045454545454545456,0.18181818181818182,0.0,483.9044425869966,484.0862607688148,191.0,1.5320726906595161
2006-11-07,1889.53,Shanghai Composite,2006,11,7,200611,20064,200645,1.0017070364892302,False,0.045454545454545456,0.2272727272727273,0.0,484.7304851277932,484.95775785506595,191.0,1.5360282084172692
2006-11-08,1866.82,Shanghai Composite,2006,11,8,200611,20064,200645,0.987981138166634,False,0.045454545454545456,0.2727272727272727,0.0,478.9045764006218,479.17730367334906,191.0,1.5052045344138971
2006-11-09,1896.48,Shanghai Composite,2006,11,9,200611,20064,200645,1.0158879806301626,False,0.045454545454545456,0.3181818181818182,0.0,486.51340303417106,486.8315848523529,191.0,1.5446174546808655
2006-11-10,1883.35,Shanghai Composite,2006,11,10,200611,20064,200645,0.9930766472622964,False,0.045454545454545456,0.36363636363636365,0.0,483.1450991333449,483.5087354969813,191.0,1.5266489740934888
2006-11-13,1863.77,Shanghai Composite,2006,11,13,200611,20064,200646,0.9896036318262671,False,0.045454545454545456,0.4090909090909091,0.0,478.12214480142,478.53123571051094,191.0,1.500044451586616
2006-11-14,1888.24,Shanghai Composite,2006,11,14,200611,20064,200646,1.0131293024353865,False,0.045454545454545456,0.4545454545454546,0.0,484.3995550415735,484.8541004961189,191.0,1.5324763083842865
2006-11-15,1922.94,Shanghai Composite,2006,11,15,200611,20064,200646,1.0183769012413677,False,0.045454545454545456,0.5,0.0,493.301317825935,493.801317825935,191.0,1.5785969599265535
2006-11-16,1941.55,Shanghai Composite,2006,11,16,200611,20064,200646,1.0096778890657014,False,0.045454545454545456,0.5454545454545454,0.0,498.07543325581867,498.6208878012732,191.0,1.60314654286379
2006-11-17,1971.79,Shanghai Composite,2006,11,17,200611,20064,200646,1.015575184775051,False,0.045454545454545456,0.5909090909090909,0.0,505.8330501606916,506.42395925160065,191.0,1.64325672681737
2006-11-20,2017.28,Shanghai Composite,2006,11,20,200611,20064,200647,1.02307040810634,False,0.045454545454545456,0.6363636363636364,0.0,517.5028250615735,518.1391886979371,191.0,1.703762369865896
2006-11-21,2037.55,Shanghai Composite,2006,11,21,200611,20064,200647,1.0100481836928934,False,0.045454545454545456,0.6818181818181819,0.0,522.7027885093835,523.3846066912016,191.0,1.73048644704919
2006-11-22,2041.36,Shanghai Composite,2006,11,22,200611,20064,200647,1.0018698927633678,False,0.045454545454545456,0.7272727272727273,0.0,523.6801866710093,524.4074593982821,191.0,1.7351740414324812
