date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1967-07-31,74.66,Nasdaq Composite,1967,7,31,196707,19673,196731,1.0032249395323838,False,0.05,0.2,0.0,627.7542275163654,627.9542275163654,210.8,1.9760863863334857,74.66,True
1967-08-01,75.17,Nasdaq Composite,1967,8,1,196708,19673,196731,1.0068309670506297,False,0.043478260869565216,0.24347826086956523,0.0,632.0423959604232,632.2858742212927,210.8,1.9959981679212468,75.17,True
1967-08-02,75.53,Nasdaq Composite,1967,8,2,196708,19673,196731,1.0047891446055608,False,0.043478260869565216,0.28695652173913044,0.0,635.0693383915227,635.3562949132619,210.8,2.0099268348105093,75.53,True
1967-08-03,75.46,Nasdaq Composite,1967,8,3,196708,19673,196731,0.9990732159406858,True,0.043478260869565216,0.33043478260869563,0.33043478260869563,634.8112010347509,634.8112010347509,211.13043478260872,2.0067252108318097,75.53,False
1967-08-04,75.62,Nasdaq Composite,1967,8,4,196708,19673,196731,1.002120328650941,False,0.043478260869565216,0.043478260869565216,0.0,636.1572094122431,636.2006876731127,211.13043478260872,2.012685982392751,75.62,True
1967-08-07,75.45,Nasdaq Composite,1967,8,7,196708,19673,196732,0.9977519174821475,True,0.043478260869565216,0.08695652173913043,0.08695652173913043,634.8140320328968,634.8140320328968,211.21739130434784,2.0055007691965057,75.62,False
1967-08-08,75.57,Nasdaq Composite,1967,8,8,196708,19673,196732,1.0015904572564611,False,0.043478260869565216,0.043478260869565216,0.0,635.8236766166468,635.8671548775164,211.21739130434784,2.0098671665328003,75.62,False
1967-08-09,75.67,Nasdaq Composite,1967,8,9,196708,19673,196732,1.001323276432447,False,0.043478260869565216,0.08695652173913043,0.0,636.6650471031054,636.7520036248445,211.21739130434784,2.013435408101116,75.67,True
1967-08-10,75.5,Nasdaq Composite,1967,8,10,196708,19673,196732,0.9977534029337914,False,0.043478260869565216,0.13043478260869565,0.0,635.234717276126,635.3651520587348,211.21739130434784,2.0062535481075705,75.67,False
1967-08-11,75.23,Nasdaq Composite,1967,8,11,196708,19673,196732,0.9964238410596027,False,0.043478260869565216,0.17391304347826086,0.0,632.9630169626882,633.1369300061665,211.21739130434784,1.9950944858374804,75.67,False
1967-08-14,74.86,Nasdaq Composite,1967,8,14,196708,19673,196733,0.99508174930214,False,0.043478260869565216,0.21739130434782608,0.0,629.849946162792,630.0673374671399,211.21739130434784,1.979960674839444,75.67,False
1967-08-15,74.99,Nasdaq Composite,1967,8,15,196708,19673,196733,1.0017365749398877,False,0.043478260869565216,0.2608695652173913,0.0,630.9437277951879,631.2045973604053,211.21739130434784,1.984725686531521,75.67,False
1967-08-16,74.84,Nasdaq Composite,1967,8,16,196708,19673,196733,0.9979997332977731,False,0.043478260869565216,0.30434782608695654,0.0,629.6816720655003,629.9860198915873,211.21739130434784,1.9783511731770824,75.67,False
1967-08-17,74.94,Nasdaq Composite,1967,8,17,196708,19673,196733,1.001336183858899,False,0.043478260869565216,0.34782608695652173,0.0,630.5230425519587,630.8708686389152,211.21739130434784,1.981921491717026,75.67,False
1967-08-18,75.08,Nasdaq Composite,1967,8,18,196708,19673,196733,1.0018681611956233,False,0.043478260869565216,0.3913043478260869,0.0,631.7009612330006,632.0922655808267,211.21739130434784,1.9870807701580055,75.67,False
1967-08-21,74.69,Nasdaq Composite,1967,8,21,196708,19673,196734,0.9948055407565264,False,0.043478260869565216,0.43478260869565216,0.0,628.4196163358127,628.8543989445084,211.21739130434784,1.9711690993680548,75.67,False
1967-08-22,74.32,Nasdaq Composite,1967,8,22,196708,19673,196734,0.9950461909224795,False,0.043478260869565216,0.4782608695652174,0.0,625.3065455359165,625.7848064054817,211.21739130434784,1.9560588513711394,75.67,False
