horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
7,120,25278,4,2019-03-20,2026-03-20,0.13737506828025392,0.2292433496408778,0.14778861629607443,0.21982134153259214,0.9534355479840999,0.055932218753621754,0.04360582510293187,0.012326393650689882
8,15,0,0,1950-01-03,1958-01-03,0.018151533724728663,0.029534719818522907,0.018111251737520373,0.0632265930380594,0.9942938659058488,0.04505291451618465,0.04337598975603707,0.00167692476014758
8,15,6228,1,1967-01-22,1975-01-22,0.024297802020191606,0.02794217209374319,0.01652693427031071,0.04348673764253218,0.9949773982923155,-0.030917531619903738,-0.03320094707887555,0.002283415458971816
8,15,12456,2,1984-02-10,1992-02-10,0.026584508776970495,0.03285417023584394,0.027276136305987686,0.03605989967321267,0.9955489614243324,0.07002085625078136,0.06720294410550709,0.0028179121452742706
8,15,18684,3,2001-02-28,2009-02-28,0.02831159452738774,0.03876200261353081,0.025030196060276122,0.07019479425176889,0.9920437593237196,-0.044305632072654366,-0.04702365209915904,0.002718020026504675
8,15,24913,4,2018-03-20,2026-03-20,0.024339019547812812,0.03668520266391602,0.025073267735696625,0.07181639143721931,0.9955268389662028,0.04680637136195376,0.04433540801203706,0.0024709633499166994
8,30,0,0,1950-01-03,1958-01-03,0.03288805495627822,0.059421001919974493,0.033948245021823364,0.10046048662581142,0.988112220637185,0.046246292629227304,0.04335972378563646,0.002886568843590842
8,30,6228,1,1967-01-22,1975-01-22,0.04397967310144746,0.05685979905612489,0.03149666610258972,0.10517129806233232,0.9894525364138623,-0.02928473302179635,-0.033255882535477954,0.003971149513681604
8,30,12456,2,1984-02-10,1992-02-10,0.044922035268944116,0.06100937043593867,0.047352247303757755,0.06735305182738831,0.990108803165183,0.07131739671915316,0.06681586112090065,0.004501535598252504
8,30,18684,3,2001-02-28,2009-02-28,0.04932215090535008,0.07161074926322546,0.04523869903956257,0.11346433494022767,0.989557434112382,-0.04236440835805744,-0.046890579344283756,0.004526170986226319
8,30,24913,4,2018-03-20,2026-03-20,0.04430517417970914,0.06834415271988054,0.046094081242147755,0.09961150188019892,0.9900596421471173,0.048260961450502515,0.043933360560616475,0.004327600889886041
8,45,0,0,1950-01-03,1958-01-03,0.04824117828512087,0.08163888694811855,0.0492048754420511,0.12124774884836843,0.9824060865430337,0.047308891364655103,0.04317894140868517,0.004129949955969936
8,45,6228,1,1967-01-22,1975-01-22,0.05578180087020157,0.056667947202679814,0.03307048603902207,0.07976156769896417,0.9844299347061778,-0.028315420522691426,-0.033015547752926144,0.004700127230234719
8,45,12456,2,1984-02-10,1992-02-10,0.05724127569862425,0.0834174980126568,0.06033116844601949,0.11640599189671619,0.9851632047477745,0.07257157353697696,0.06720092182835646,0.0053706517086205
8,45,18684,3,2001-02-28,2009-02-28,0.0683002823641452,0.09509672325790834,0.06314924596579363,0.13173016632642068,0.984087518647439,-0.04140199151391233,-0.0474438450043595,0.006041853490447169
8,45,24913,4,2018-03-20,2026-03-20,0.06367828616290527,0.0997300937117656,0.06762437692402856,0.13018373379161657,0.9845924453280318,0.049875617185646925,0.04382630158406897,0.006049315601577954
8,60,0,0,1950-01-03,1958-01-03,0.058521339952729345,0.10497993950173311,0.06046656429016806,0.15679885404820817,0.9766999524488825,0.048009149400369155,0.04327062016702454,0.004738529233344613
