date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1968-11-06,103.27,S&P 500,1968,11,6,196811,19684,196845,1.0016488845780795,False,0.058823529411764705,0.1764705882352941,0.0,545.4924161032502,545.6688866914855,226.0,1.4125802532523415
1968-11-07,103.5,S&P 500,1968,11,7,196811,19684,196845,1.0022271714922049,False,0.058823529411764705,0.23529411764705882,0.0,546.7073212616093,546.9426153792564,226.0,1.4175830632988449
1968-11-08,103.95,S&P 500,1968,11,8,196811,19684,196845,1.0043478260869565,False,0.058823529411764705,0.29411764705882354,0.0,549.0843096149207,549.3784272619795,226.0,1.427718550416858
1968-11-12,104.62,S&P 500,1968,11,12,196811,19684,196846,1.0064454064454065,False,0.058823529411764705,0.3529411764705882,0.0,552.6233811631841,552.9763223396548,226.0,1.4429827130390156
1968-11-13,105.13,S&P 500,1968,11,13,196811,19684,196846,1.0048747849359587,False,0.058823529411764705,0.4117647058823529,0.0,555.3173012969371,555.7290660028194,226.0,1.4545061371909407
1968-11-14,105.2,S&P 500,1968,11,14,196811,19684,196846,1.0006658422904975,False,0.058823529411764705,0.47058823529411764,0.0,555.6870550407855,556.1576432760796,226.0,1.455761022258014
1968-11-15,105.78,S&P 500,1968,11,15,196811,19684,196846,1.0055133079847909,False,0.058823529411764705,0.5294117647058824,0.0,558.7507289183868,559.2801406830927,226.0,1.468907398497163
1968-11-18,105.92,S&P 500,1968,11,18,196811,19684,196847,1.0013235016071091,False,0.058823529411764705,0.5882352941176471,0.0,559.4902364060837,560.0784717002014,226.0,1.4717897245335987
1968-11-19,106.14,S&P 500,1968,11,19,196811,19684,196847,1.0020770392749245,False,0.058823529411764705,0.6470588235294118,0.0,560.6523196010359,561.2993784245652,226.0,1.4765350203004437
1968-11-21,105.97,S&P 500,1968,11,21,196811,19684,196847,0.9983983418127002,False,0.058823529411764705,0.7058823529411764,0.0,559.7543462231182,560.4602285760594,226.0,1.472190940786977
1968-11-22,106.3,S&P 500,1968,11,22,196811,19684,196847,1.003114088893083,False,0.058823529411764705,0.7647058823529411,0.0,561.4974710155466,562.2621768978995,226.0,1.479495981132112
1968-11-25,106.48,S&P 500,1968,11,25,196811,19684,196848,1.0016933207902163,False,0.058823529411764705,0.8235294117647058,0.0,562.448266356871,563.2717957686358,226.0,1.4833040788555003
1968-11-26,107.26,S&P 500,1968,11,26,196811,19684,196848,1.0073253193087903,False,0.058823529411764705,0.8823529411764706,0.0,566.5683795026107,567.4507324437872,226.0,1.5010791940742498
1968-11-27,107.76,S&P 500,1968,11,27,196811,19684,196848,1.0046615700167816,False,0.058823529411764705,0.9411764705882353,0.0,569.2094776729566,570.1506541435449,226.0,1.5123279213168126
1968-11-29,108.37,S&P 500,1968,11,29,196811,19684,196848,1.0056607275426874,True,0.058823529411764705,1.0,1.0,573.4316174407786,573.4316174407786,227.0,1.5261304733073948
1968-12-02,108.12,S&P 500,1968,12,2,196812,19684,196849,0.9976930884931254,False,0.05555555555555555,0.05555555555555555,0.0,572.1087614440988,572.1643169996544,227.0,1.5199309287971077
1968-12-03,108.02,S&P 500,1968,12,3,196812,19684,196849,0.9990751017388086,False,0.05555555555555555,0.1111111111111111,0.0,571.5796190454269,571.6907301565379,227.0,1.5172292423722316
1968-12-05,107.67,S&P 500,1968,12,5,196812,19684,196849,0.9967598592853176,False,0.05555555555555555,0.16666666666666666,0.0,569.7276206500751,569.8942873167417,227.0,1.5087055934706166
1968-12-06,107.93,S&P 500,1968,12,6,196812,19684,196849,1.0024147859199406,False,0.05555555555555555,0.2222222222222222,0.0,571.1033908866222,571.3256131088443,227.0,1.5143914513347672
1968-12-09,107.66,S&P 500,1968,12,9,196812,19684,196850,0.9974983785787084,False,0.05555555555555555,0.2777777777777778,0.0,569.6747064102079,569.9524841879858,227.0,1.5077352029781825
1968-12-10,107.39,S&P 500,1968,12,10,196812,19684,196850,0.9974921047742895,False,0.05555555555555555,0.3333333333333333,0.0,568.2460219337937,568.5793552671271,227.0,1.5010822079199135
1968-12-12,107.32,S&P 500,1968,12,12,196812,19684,196850,0.9993481702206909,False,0.05555555555555555,0.38888888888888884,0.0,567.8756222547233,568.2645111436123,227.0,1.499086538134625
1968-12-13,107.58,S&P 500,1968,12,13,196812,19684,196850,1.0024226612001492,False,0.05555555555555555,0.4444444444444444,0.0,569.2513924912705,569.695836935715,227.0,1.5047691902400753
1968-12-16,107.1,S&P 500,1968,12,16,196812,19684,196851,0.9955382041271611,False,0.05555555555555555,0.5,0.0,566.711508977645,567.211508977645,227.0,1.4932374020995387
1968-12-17,106.66,S&P 500,1968,12,17,196812,19684,196851,0.9958916900093371,False,0.05555555555555555,0.5555555555555556,0.0,564.3832824234886,564.9388379790441,227.0,1.4826413778375964
